LinkName;XPath;Text;
Shares;//*[@id='id1']/div/div[1]/h1;Shares;
Share issues;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div/table/tbody/tr[1]/td/font;U.S. residents;
Funds;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div/table/tbody/tr[1]/td/font;Funds;
Buy;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/table/tbody/tr/td[1]/font[1];Nordea Funds;
Sell;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div/table/tbody/tr[1]/td/font;Funds;
Fund orders;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/font[1];Fund orders;
Transactions;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/font[1];Fund transactions;
Fund savings agreements;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/form/table/tbody/tr/td/font;Fund savings agreement;
Bonds;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/table/tbody/tr[1]/td/font[1];Bonds;
Subscriptions;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/table/tbody/tr[1]/td/font[1];U.S. residents;
Buy;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/table/tbody/tr[1]/td[1]/font[1];Bonds traded by Nordea Bank;
Transactions;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/font[1];Bond transactions;
Pension savings and investment insurances;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/table/tbody/tr[1]/td/font[1];Pension savings and investment insurances;
PS agreement;/html/body/table/tbody/tr[2]/td[3]/h1;Open an agreement - ESAN TESTIASIAKAS;
Pension insurance;/html/body/table/tbody/tr/td/div[1]/h1;Selekta Eläketurva;
Investments;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Investments;
Pension savings and investment insurances;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/table/tbody/tr[1]/td/font[1];Pension savings and investment insurances;
Selekta Capital;/html/body/table/tbody/tr/td/div[1]/font;U.S. residents;
Investments;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Investments;
Pension savings and investment insurances;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/table/tbody/tr[1]/td/font[1];Pension savings and investment insurances;
Opening of an agreement;/html/body/table/tbody/tr[2]/td[3]/h1;Open an agreement - ESAN TESTIASIAKAS;
Investment accounts;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/table/tbody/tr[1]/td/font[1];Investment accounts;
Topical products;/html/body/table/tbody/tr[2]/td[3]/div/div[1];To access Invest now; please log out and change the language. The service is currently available only in Finnish and Swedish.
Research and analysis;/html/body/table/tbody/tr/td/span/h1;U.S. residents;
Kauppalehti.fi;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div/table/tbody/tr[1]/td/font;U.S. residents;
Planning tools;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div/table/tbody/tr[1]/td/font;U.S. residents;
Opening of services;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div/table/tbody/tr[1]/td/font;U.S. residents;
Book-entry accounts;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div/table/tbody/tr[1]/td/font;U.S. residents;
Loans;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Loans;
